Boundary ID,System Name,Boundary Type,System Type,Population Served,Connections,Census Population Allocated,Arsenic (ppb),Hexavalent Chromium (ppb),Cadmium (ppb),DBCP (ppb),Lead (ppb),Nitrate (ppm),Perchlorate (ppb),PCE (ppb) ,TCE (ppb),TCP (ppb),TTHMs (ppb),"Combination Radium 226, 228 (PCI/L)",Uraniuim (PCI/L)
63230,Township,Township,NA,NA,NA,395,3.1,,0,0.133,0,2.545,0,0,0,0,0,,0.707
63236,Township,Township,NA,NA,NA,2337,3.903,4.467,0,0.015,0,13.886,0.126,0.34,0.096,0.0028,0.857,,2.569
63294,Township,Township,NA,NA,NA,5683,0.301,0,0.011,0.025,0.024,3.514,0,0,0,0.0185,0.173,0,0.707
63297,Township,Township,NA,NA,NA,3807,0.153,12.178,0,0.102,0,14.892,0,0,0,0,0.311,,1.088
63323,Township,Township,NA,NA,NA,182,162.133,,,,,1.976,,,,,,,
63342,Township,Township,NA,NA,NA,1506,22.975,,0,0,0,7.93,0,0,0,0,0,,0.707
63344,Township,Township,NA,NA,NA,3187,1.911,6.617,0,0.102,0.798,7.293,0,0,0,0,0.317,0.367,1.367
63486,Township,Township,NA,NA,NA,1032,6.451,0,0,0,0,3.085,0,0,0,0,2.85,,
63548,Township,Township,NA,NA,NA,402,0,,0,0.01,0,2.562,0,0,0,0,0,,
63571,Township,Township,NA,NA,NA,696,2.28,,0,0.125,1.17,4.226,0,0,0,0,0,,0.707
63588,Township,Township,NA,NA,NA,1573,5.988,3.956,0,0.04,1.028,8.817,0.004,0.01,0.011,0,0.306,,1.34
63589,Township,Township,NA,NA,NA,22642,1.532,3.867,0,0.046,0,4.134,0,0,0,0,0.083,,0.707
63592,Township,Township,NA,NA,NA,70,2.475,,0,0.51,0,1.451,0,0,0,,0,,
63595,Township,Township,NA,NA,NA,825,2.121,,0,0.255,0,1.488,0,0,0,0,0.65,,0.707
63597,Township,Township,NA,NA,NA,1577,,,,,,1.414,,,,,,,
63598,Township,Township,NA,NA,NA,80,0,,0,,0.917,1.414,0,0,0,0,0,,
63599,Township,Township,NA,NA,NA,1895,0,,0,0.25,0,1.414,0,0,0,0,0,,0.707
63600,Township,Township,NA,NA,NA,7,0,,0,,0,1.457,,,,,,,
63602,Township,Township,NA,NA,NA,450,1.512,,0.07,0.062,0.526,4.003,0,0,0,0,0.088,,0.707
63603,Township,Township,NA,NA,NA,83,1.775,,0,0,1,1.727,0,0,0,0,0.128,,
63604,Township,Township,NA,NA,NA,349,2.3,,0,0.4,0,2.188,0,0,0,,,,0.707
63607,Township,Township,NA,NA,NA,86,,,,,,2.423,,,,,,,
63608,Township,Township,NA,NA,NA,410,1.875,,0,0.2,0,13.439,0,0,0,0,0,,0.707
63617,Township,Township,NA,NA,NA,6118,1.067,,0,,0,8.101,0,0,0,,0,,
63618,Township,Township,NA,NA,NA,1084,1.59,18.969,0,0.057,0.14,24.176,0,0.05,0.004,0,0.095,,1.52
63621,Township,Township,NA,NA,NA,484,2.75,,0,0.263,0,22.201,0,0,0,,0.333,,1.24
63623,Township,Township,NA,NA,NA,290,2.517,,0,,5.1,4.23,0,0,0,0,1.333,,
63624,Township,Township,NA,NA,NA,2,0,,0,0.4,0,8.011,0,0,0,0,0,,0.707
63627,Township,Township,NA,NA,NA,1727,1.569,,0,0.4,0,3.891,0,0,0,0,0.333,,0.707
63628,Township,Township,NA,NA,NA,1278,6.733,,0,,0,5.234,0,0,0,0.0139,0.195,,
63629,Township,Township,NA,NA,NA,120,,,,,,28.944,,,,,,,
63631,Township,Township,NA,NA,NA,281,0.483,,0,0,0,2.688,0,0,0,0,0,,0.707
63635,Township,Township,NA,NA,NA,2114,6.068,,0,0,,8.189,0,0,0,0,0.725,,
63642,Township,Township,NA,NA,NA,65,1.768,,0,0.08,0,6.297,0,0,0,0,0.064,,0.707
63643,Township,Township,NA,NA,NA,1738,1.995,,0,0.18,3.163,4.387,0,0,0,0,0,,0.707
63653,Township,Township,NA,NA,NA,2113,9.005,0,0,0.057,0,5.665,0,0.041,0.012,0,0.548,,0.707
63677,Township,Township,NA,NA,NA,236,0,,0,,0,38.895,0,0,0,,0,0,1.27
63732,Township,Township,NA,NA,NA,164,7.1,,,,,1.414,,,,,,,
63744,Township,Township,NA,NA,NA,529,2.981,,0,0.2,0,3.431,0,0,0,0,0,,0.707
63754,Township,Township,NA,NA,NA,3882,5.648,0,0,0.057,1.447,12.24,0,0.013,1.022,0,0.13,,1.002
63848,Township,Township,NA,NA,NA,241,0,,0,0,8,1.414,0,0,0,0,2.1,,
63854,Township,Township,NA,NA,NA,45,2.2,,0,,0,7.6,0,0,0,0,5.903,,
63867,Township,Township,NA,NA,NA,159,23.647,,0,0,0.95,2.032,0,0,0,0,0,,
63879,Township,Township,NA,NA,NA,5961,1.496,,0,0.225,5.125,5.129,0,0.02,0,0,0,,0.707
63881,Township,Township,NA,NA,NA,324,3.666,,0,0.162,0,9.525,0,0,0,0,0.688,,0.707
63931,Township,Township,NA,NA,NA,3331,14.203,,0,0.008,0,2.687,0,0,0,0,0.203,,1.73
63952,Township,Township,NA,NA,NA,395,0,,0,1,0,17.792,0,0,0,0,0,,0.707
63972,Township,Township,NA,NA,NA,38023,18.186,,0,0.255,0,2.275,0,0,0,0,0,,0.707
63973,Township,Township,NA,NA,NA,747,11.234,,0,0.51,0,5.848,0,0,0,,,,0.707
63975,Township,Township,NA,NA,NA,1295,0,,0,0,0,1.452,0,0,0,0,0,,
63976,Township,Township,NA,NA,NA,1941,0,,0,0,0,6.811,0,0,0,0,0,,0.707
63979,Township,Township,NA,NA,NA,750,5.93,0,0,0,0,1.616,0,0,0,,0.033,,0.707
63980,Township,Township,NA,NA,NA,268,3.625,,0,0.03,0,7.077,0,0,0,0,0,,0.707
63981,Township,Township,NA,NA,NA,656,,,,0.03,,,,0,0,,,,
63982,Township,Township,NA,NA,NA,1291,1.1,,0,0,0,1.846,0,0,0,0,0,10.96,2.334
63984,Township,Township,NA,NA,NA,275,,,,,,2.605,,,,,,,
63985,Township,Township,NA,NA,NA,0,0,,0,0.5,0,1.607,0,0,0,,,,6.676
63987,Township,Township,NA,NA,NA,16,,,,,,1.414,,,,,,,
63996,Township,Township,NA,NA,NA,629,2.954,,0,0,0,3.857,0,0,0,0,0,,
63997,Township,Township,NA,NA,NA,155,7.4,,0,,,4.755,0,0,0,0,0,,
64001,Township,Township,NA,NA,NA,2201,3.988,,0,0.013,1.071,9.407,0,0,0,0,0.23,,2.24
64003,Township,Township,NA,NA,NA,413,1.35,13.3,0,0,0,14.655,0.432,0.024,0.071,0,0.023,,1.157
64004,Township,Township,NA,NA,NA,817,0,,0,0,0,12.722,0,0,0,,0,,
64006,Township,Township,NA,NA,NA,228,2.4,,0,0.4,0,3.591,0,0,0,0,0,,0.707
64008,Township,Township,NA,NA,NA,242,,,,0.51,,4.6,,0,0,,0.9,,1.208
64012,Township,Township,NA,NA,NA,29,6.65,,0,0,1.7,2.755,,0,0,,0,,
64017,Township,Township,NA,NA,NA,1701,1.563,,0.1,0.1,0,2.913,0,0,0,0,0,,0.707
64018,Township,Township,NA,NA,NA,491,2.003,,0,0.4,0,4.334,0,0,0,0,4.25,,0.707
